기준년도,학술지구분,학술지명,ISSN번호,발행처명,게재권/집,게재호,시작페이지,끝페이지,논문제목(원어),논문제목(타언어),투고년월,전체저자수,인용지수
2026,KCI,한국정보기술학회논문지,1598-8619,한국정보기술학회,23,11,215,222,의료정보 연동 AI 에이전트를 위한 MCP-FHIR 서버 아키텍처,MCP-FHIR Server Architecture for Medical Information Integration AI Agents,202509,1,0.000
2024,KCI,한국정보기술학회논문지,1598-8619,한국정보기술학회,22,8,55,64,스마트 의료용 베드의 통합 관리를 위한 인터페이스 시스템 설계 및 구현,Design and Implementation of Interface System for Integrated Smart Medical Bed Management,202404,2,0.000
2024,KCI,한국정보기술학회논문지,1598-8619,한국정보기술학회,22,8,31,40,Optimizing DenseNet for Image Classification: A Synergy of Dual-Adaptive Attention and Multi-Scale Feature Extraction,Optimizing DenseNet for Image Classification: A Synergy of Dual-Adaptive Attention and Multi-Scale Feature Extraction,202404,2,0.000
2023,KCI,한국정보기술학회논문지,1598-8619,한국정보기술학회,21,9,41,50,플라스틱 원료 혼합기의 자동 보정 소프트웨어를 위한 머신러닝 예측 모델,Machine Learning Predictive Model for Automatic Calibration Software in Plastic Raw Material Mixer,202307,1,0.000
2022,SCIE,ELECTRONICS,2079-9292,MDPI,11,16,0,0,VGG-C Transform Model with Batch Normalization to Predict Alzheimer's Disease through MRI Dataset,,202207,2,2.690
2022,KCI,멀티미디어학회논문지,1229-7771,한국멀티미디어학회,25,7,922,931,하이퍼레저 패브릭과 비대칭키 암호화 기술을 결합한 건강정보 관리서버,Hyperledger Fabric and Asymmetric Key Encryption  for Health Information Management Server,202205,2,0.000
2021,KCI,융복합지식학회논문지,2287-8920,융복합지식학회,9,3,71,80,멀티채널 데이터 방송을 이용한 CCR 기반 헬스케어 서비스 설계와 구현,An Implementation and Design of CCR-based Healthcare Service Using Multi-Channel Data Broadcasting,202108,2,0.000
2020,KCI,멀티미디어학회논문지,1229-7771,한국멀티미디어학회,23,12,1496,1506,개인 건강 정보 처리를 위한 배치 어플리케이션에서 데이터 질의 속도 향상을 위한 PHDItemReader 설계 및 구현,Desgin and Implementation of PHDItemReader to Speed up Data Query in Batch Application for Processing Personal Health Recor,202009,2,0.000
2020,KCI,"The International Journal of Internet, Broadcasting and Communication",2288-4920,한국인터넷방송통신학회,12,4,109,121,Design of Remote Management System for Smart Factory,Design of Remote Management System for Smart Factory,202008,1,0.000
2019,KCI,멀티미디어학회논문지,1229-7771,한국멀티미디어학,22,11,1288,1299,개인 건강 정보 관리를 위한 통합 리파지토리 및 웹 기반 대시보드 UI 컴포넌트 설계 및 구현,Design and Implementation of Web-based Dashboard UI Components and Integrated Repository for Personal Health Records Management,201910,2,
